Term,stunum,Course,Grade
2022-FA Course Grade,0,CLA INT 201.,P
2022-FA Course Grade,1,CLA INT 101.,P
2022-FA Course Grade,2,CLA INT 101.,P
2022-FA Course Grade,3,CLA GBK 101.,P
2022-FA Course Grade,4,CLA GBK 203.,P
2022-FA Course Grade,5,CLA INT 101.,P
2022-FA Course Grade,6,CLA INT 101.,P
2022-FA Course Grade,7,CLA INT 201.,P
2022-FA Course Grade,8,CLA INT 201.,P
2022-FA Course Grade,9,CLA INT 201.,P
2022-FA Course Grade,10,CLA GBK 101.,P
2022-FA Course Grade,11,CLA INT 101.,P
2022-FA Course Grade,12,CLA INT 201.,P
2022-FA Course Grade,13,CLA INT 201.,P
2022-FA Course Grade,14,CLA INT 201.,P
2022-FA Course Grade,15,CLA INT 201.,P
2022-FA Course Grade,16,CLA INT 201.,P
2022-FA Course Grade,17,CLA INT 301.,P
2022-FA Course Grade,18,CLA INT 101.,P
2022-FA Course Grade,19,CLA INT 201.,P
2022-FA Course Grade,20,CLA INT 101.,P
2022-FA Course Grade,21,CLA INT 101.,P
2022-FA Course Grade,22,CLA INT 201.,P
2022-FA Course Grade,23,CLA INT 101.,P
2022-FA Course Grade,24,CLA INT 201.,P
2022-FA Course Grade,25,CLA INT 201.,P
2022-FA Course Grade,26,CLA INT 101.,P
2022-FA Course Grade,27,CLA INT 301.,P
2022-FA Course Grade,28,CLA INT 201.,P
2022-FA Course Grade,29,CLA GBK 101.,P
2022-FA Course Grade,30,CLA GBK 101.,P
2022-FA Course Grade,31,CLA INT 201.,P
2022-FA Course Grade,32,CLA INT 101.,P
2022-FA Course Grade,33,CLA GBK 101.,P
2022-FA Course Grade,34,CLA INT 101.,P
2022-FA Course Grade,35,CLA GBK 101.,P
2022-FA Course Grade,36,CLA INT 101.,P
2022-FA Course Grade,37,CLA INT 201.,P
2022-FA Course Grade,38,CLA GBK 203.,P
2022-FA Course Grade,39,CLA INT 201.,P
2022-FA Course Grade,40,CLA GBK 305.,P
2022-FA Course Grade,41,CLA GBK 101.,P
2022-FA Course Grade,42,CLA INT 201.,P
2022-FA Course Grade,43,CLA INT 201.,P
2022-FA Course Grade,44,CLA INT 101.,P
